,movie_name,year,time_in_min,genres,rating,votes,grosses
245,Salinui chueok,2003,131 min,"
Action, Crime, Drama            ",8.1,"117,738",$0.01M
246,Moneyball,2011,133 min,"
Biography, Drama, Sport            ",7.6,"342,937",$75.61M
247,Hell or High Water,2016,102 min,"
Action, Crime, Drama            ",7.6,"190,116",$26.86M
248,The Hobbit: The Desolation of Smaug,2013,161 min,"
Adventure, Fantasy            ",7.8,"581,994",$258.37M
249,The Incredibles,2004,115 min,"
Animation, Action, Adventure            ",8.0,"629,916",$261.44M
250,La vie d'Adèle,2013,180 min,"
Drama, Romance            ",7.7,"130,940",$2.20M
251,V for Vendetta,2005,132 min,"
Action, Drama, Sci-Fi            ",8.2,"986,858",$70.51M
252,The Truman Show,1998,103 min,"
Comedy, Drama, Sci-Fi            ",8.1,"881,097",$125.62M
253,Gran Torino,2008,116 min,"
Drama            ",8.1,"693,404",$148.10M
254,"Monsters, Inc.",2001,92 min,"
Animation, Adventure, Comedy            ",8.0,"776,733",$289.92M
255,Mulholland Dr.,2001,147 min,"
Drama, Mystery, Thriller            ",8.0,"303,029",$7.22M
256,Aladdin,1992,90 min,"
Animation, Adventure, Comedy            ",8.0,"350,708",$217.35M
257,The Wizard of Oz,1939,102 min,"
Adventure, Family, Fantasy            ",8.0,"361,574",$2.08M
258,Airplane!,1980,88 min,"
Comedy            ",7.7,"199,638",$83.40M
259,Up,2009,96 min,"
Animation, Adventure, Comedy            ",8.2,"888,860",$293.00M
260,Serpico,1973,130 min,"
Biography, Crime, Drama            ",7.7,"102,480",$29.80M
261,Atonement,2007,123 min,"
Drama, Mystery, Romance            ",7.8,"237,325",$50.93M
262,Rush,2013,123 min,"
Biography, Drama, Sport            ",8.1,"411,583",$26.95M
263,Lo imposible,2012,114 min,"
Drama, History, Thriller            ",7.6,"187,273",$19.02M
264,L.A. Confidential,1997,138 min,"
Crime, Drama, Mystery            ",8.2,"510,905",$64.62M
265,127 Hours,2010,94 min,"
Biography, Drama            ",7.6,"335,411",$18.34M
266,The Perks of Being a Wallflower,2012,103 min,"
Drama, Romance            ",8.0,"437,421",$17.74M
267,Office Space,1999,89 min,"
Comedy            ",7.7,"233,808",$10.82M
